code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,3,0.036,0.035,0.47070999443531036
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,4,0.037,0.038,0.5137905851006508
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,5,-0.011,-0.015,-0.46551167173311114
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,6,-0.06,-0.071,-1.4265692196786404
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,7,0.101,0.086,0.6987608671188354
1992-1997-09,1992/09 - 1997/09,1995-04-01 00:55:09.960938,all,0.024,0.02,0.06877808622084558
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,1,0.01,0.01,0.027903006819542497
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,2,-0.019,-0.029,-1.3244352312758565
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,3,0.036,0.035,0.5064241364598274
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,4,0.037,0.038,0.5504730045795441
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,5,-0.011,-0.013,-0.47639511758461595
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,6,-0.06,-0.065,-1.4861450530588627
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,7,0.101,0.094,0.7995521053671837
1992-1997-10,1992/10 - 1997/10,1995-05-01 01:01:56.015625,all,0.024,0.022,0.09247203334234655
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,1,0.01,0.01,0.03811372950440273
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,2,-0.019,-0.019,-1.3434807760640979
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,3,0.036,0.036,0.5421382784843445
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,4,0.037,0.037,0.5871554240584373
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,5,-0.011,-0.011,-0.48727856343612075
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,6,-0.06,-0.06,-1.545720886439085
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,7,0.101,0.101,0.9003433436155319
1992-1997-11,1992/11 - 1997/11,1995-06-01 01:14:14.296875,all,0.024,0.024,0.11616598046384752
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,1,0.01,0.015,0.048324452189262956
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,2,-0.019,-0.005,-1.3625263208523393
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,3,0.036,0.035,0.5778524205088615
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,4,0.037,0.039,0.6238378435373306
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,5,-0.011,-0.007,-0.49816200928762555
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,6,-0.06,-0.056,-1.6052967198193073
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,7,0.101,0.108,1.0011345818638802
1992-1997-12,1992/12 - 1997/12,1995-07-01 00:48:50.273438,all,0.024,0.027,0.1398599275853485
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,1,0.01,0.02,0.058535174874123186
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,2,-0.019,0.009,-1.3815718656405807
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,3,0.036,0.034,0.6135665625333786
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,4,0.037,0.041,0.6605202630162239
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,5,-0.011,-0.003,-0.5090454551391304
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,6,-0.06,-0.053,-1.6648725531995296
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,7,0.101,0.116,1.1019258201122284
1993-1998-01,1993/01 - 1998/01,1995-08-01 01:08:15.703125,all,0.024,0.031,0.16355387470684946
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,1,0.034,0.024,0.08062139473622665
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,2,0.052,0.024,-1.3651248402893543
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,3,0.032,0.034,0.6475163698196411
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,4,0.046,0.042,0.7020187452435493
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,5,0.008,0.001,-0.5104392147623003
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,6,-0.044,-0.05,-1.716483360156417
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,7,0.138,0.123,1.2212707735598087
1993-1998-02,1993/02 - 1998/02,1995-08-30 01:16:31.406250,all,0.041,0.034,0.19597927364520729
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,1,0.034,0.029,0.11458311177557334
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,2,0.052,0.038,-1.3131852447986603
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,3,0.032,0.033,0.6797018423676491
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,4,0.046,0.044,0.748333290219307
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,5,0.008,0.004,-0.5023432881571352
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,6,-0.044,-0.047,-1.760129140689969
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,7,0.138,0.13,1.3591694422066212
1993-1998-03,1993/03 - 1998/03,1995-09-29 00:56:18.515625,all,0.041,0.038,0.23713612440042198
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,1,0.034,0.044,0.14854482881492004
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,2,0.052,0.06,-1.2612456493079662
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,3,0.032,0.034,0.711887314915657
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,4,0.046,0.05,0.7946478351950645
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,5,0.008,0.011,-0.49424736155197024
