code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,12,-0.08,-0.073,-0.3202037550508976
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,13,-0.073,-0.07,-0.2940167151391506
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,14,-0.062,-0.056,-0.2459002397954464
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,15,-0.18,-0.191,-0.7202587053179741
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,16,-0.206,-0.213,-0.8258959203958511
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,17,-0.212,-0.201,-0.847848929464817
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,18,-0.04,-0.042,-0.15841911174356937
1991-1996-11,1991/11 - 1996/11,1994-05-31 13:14:14.296875,all,-0.058,-0.056,-0.23211129754781723
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,1,-0.165,-0.173,-0.921846516430378
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,2,-0.054,-0.055,-0.2751217931509018
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,3,-0.037,-0.037,-0.1910053063184023
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,4,-0.03,-0.031,-0.16583183873444796
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,5,-0.05,-0.052,-0.2740554232150316
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,6,-0.059,-0.061,-0.32111341319978237
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,7,-0.046,-0.048,-0.2543937414884567
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,8,-0.045,-0.046,-0.23794620856642723
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,9,-0.095,-0.096,-0.4857858046889305
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,10,-0.034,-0.036,-0.19258014857769012
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,11,-0.068,-0.069,-0.3572983257472515
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,12,-0.063,-0.07,-0.3919183723628521
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,13,-0.064,-0.068,-0.36261487752199173
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,14,-0.047,-0.053,-0.30018819496035576
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,15,-0.206,-0.196,-0.9135534837841988
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,16,-0.223,-0.216,-1.0407101437449455
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,17,-0.184,-0.195,-1.0457472205162048
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,18,-0.045,-0.043,-0.20055969059467316
1991-1996-12,1991/12 - 1996/12,1994-06-30 12:48:50.273438,all,-0.053,-0.055,-0.28776797093451023
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,1,-0.165,-0.169,-1.0865289345383644
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,2,-0.054,-0.054,-0.3291890062391758
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,3,-0.037,-0.037,-0.22770974598824978
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,4,-0.03,-0.031,-0.19568886142224073
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,5,-0.05,-0.051,-0.3242259416729212
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,6,-0.059,-0.06,-0.37996756471693516
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,7,-0.046,-0.047,-0.30037452280521393
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,8,-0.045,-0.045,-0.2826666980981827
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,9,-0.095,-0.096,-0.5811265707015991
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,10,-0.034,-0.035,-0.22652464359998703
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,11,-0.068,-0.068,-0.4249309115111828
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,12,-0.063,-0.067,-0.45529597625136375
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,13,-0.064,-0.066,-0.42637087404727936
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,14,-0.047,-0.05,-0.34698599204421043
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,15,-0.206,-0.201,-1.1199036464095116
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,16,-0.223,-0.22,-1.2639155164361
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,17,-0.184,-0.189,-1.2293439656496048
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,18,-0.045,-0.044,-0.24522045627236366
1992-1997-01,1992/01 - 1997/01,1994-07-31 13:01:08.554688,all,-0.053,-0.054,-0.34103530831635
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,1,-0.165,-0.162,-1.2512113526463509
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,2,-0.054,-0.057,-0.3832562193274498
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,3,-0.037,-0.036,-0.26441418565809727
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,4,-0.03,-0.029,-0.2255458841100335
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,5,-0.05,-0.049,-0.37439646013081074
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,6,-0.059,-0.058,-0.43882171623408794
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,7,-0.046,-0.046,-0.34635530412197113
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,8,-0.045,-0.044,-0.3273871876299381
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,9,-0.095,-0.096,-0.6764673367142677
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,10,-0.034,-0.034,-0.26046913862228394
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,11,-0.068,-0.066,-0.49256349727511406
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,12,-0.063,-0.062,-0.5186735801398754
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,13,-0.064,-0.065,-0.490126870572567
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,14,-0.047,-0.045,-0.3937837891280651
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,15,-0.206,-0.214,-1.3262538090348244
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,16,-0.223,-0.2,-1.4871208891272545
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,17,-0.184,-0.177,-1.4129407107830048
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,18,-0.045,-0.045,-0.28988122195005417
1992-1997-02,1992/02 - 1997/02,1994-08-30 01:22:08.906250,all,-0.053,-0.053,-0.39430264569818974
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,1,-0.165,-0.16,-1.4158937707543373
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,2,-0.054,-0.06,-0.4373234324157238
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,3,-0.037,-0.035,-0.30111862532794476
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,4,-0.03,-0.028,-0.2554029067978263
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,5,-0.05,-0.048,-0.4245669785887003
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,6,-0.059,-0.057,-0.49767586775124073
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,7,-0.046,-0.046,-0.39233608543872833
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,8,-0.045,-0.043,-0.3721076771616936
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,9,-0.095,-0.099,-0.7718081027269363
