code,period,midpoint,basin,SEC
199205-199705,1992/05 - 1997/05,1994.9089,14,-0.034232962876558304
199205-199705,1992/05 - 1997/05,1994.9089,15,-0.2650824785232544
199205-199705,1992/05 - 1997/05,1994.9089,16,-0.09333191066980362
199205-199705,1992/05 - 1997/05,1994.9089,17,-0.1456678807735443
199205-199705,1992/05 - 1997/05,1994.9089,18,-0.049687840044498444
199205-199705,1992/05 - 1997/05,1994.9089,all,-0.04985239
199206-199706,1992/06 - 1997/06,1994.9939,0,-0.1684630960226059
199206-199706,1992/06 - 1997/06,1994.9939,1,-0.15570120513439178
199206-199706,1992/06 - 1997/06,1994.9939,2,-0.06542146950960159
199206-199706,1992/06 - 1997/06,1994.9939,3,-0.03281208500266075
199206-199706,1992/06 - 1997/06,1994.9939,4,-0.02543232962489128
199206-199706,1992/06 - 1997/06,1994.9939,5,-0.04372255876660347
199206-199706,1992/06 - 1997/06,1994.9939,6,-0.053467586636543274
199206-199706,1992/06 - 1997/06,1994.9939,7,-0.04627159982919693
199206-199706,1992/06 - 1997/06,1994.9939,8,-0.039609141647815704
199206-199706,1992/06 - 1997/06,1994.9939,9,-0.10753022879362106
199206-199706,1992/06 - 1997/06,1994.9939,10,-0.0362807996571064
199206-199706,1992/06 - 1997/06,1994.9939,11,-0.05902695283293724
199206-199706,1992/06 - 1997/06,1994.9939,12,-0.05502145364880562
199206-199706,1992/06 - 1997/06,1994.9939,13,-0.06583156436681747
199206-199706,1992/06 - 1997/06,1994.9939,14,-0.034232962876558304
199206-199706,1992/06 - 1997/06,1994.9939,15,-0.2650824785232544
199206-199706,1992/06 - 1997/06,1994.9939,16,-0.09333191066980362
199206-199706,1992/06 - 1997/06,1994.9939,17,-0.1456678807735443
199206-199706,1992/06 - 1997/06,1994.9939,18,-0.049687840044498444
199206-199706,1992/06 - 1997/06,1994.9939,all,-0.04985239
199207-199707,1992/07 - 1997/07,1995.0759,0,-0.1684630960226059
199207-199707,1992/07 - 1997/07,1995.0759,1,-0.15570120513439178
199207-199707,1992/07 - 1997/07,1995.0759,2,-0.06542146950960159
199207-199707,1992/07 - 1997/07,1995.0759,3,-0.03281208500266075
199207-199707,1992/07 - 1997/07,1995.0759,4,-0.02543232962489128
199207-199707,1992/07 - 1997/07,1995.0759,5,-0.04372255876660347
199207-199707,1992/07 - 1997/07,1995.0759,6,-0.053467586636543274
199207-199707,1992/07 - 1997/07,1995.0759,7,-0.04627159982919693
199207-199707,1992/07 - 1997/07,1995.0759,8,-0.039609141647815704
199207-199707,1992/07 - 1997/07,1995.0759,9,-0.10753022879362106
199207-199707,1992/07 - 1997/07,1995.0759,10,-0.0362807996571064
199207-199707,1992/07 - 1997/07,1995.0759,11,-0.05902695283293724
199207-199707,1992/07 - 1997/07,1995.0759,12,-0.05502145364880562
199207-199707,1992/07 - 1997/07,1995.0759,13,-0.06583156436681747
199207-199707,1992/07 - 1997/07,1995.0759,14,-0.034232962876558304
199207-199707,1992/07 - 1997/07,1995.0759,15,-0.2650824785232544
199207-199707,1992/07 - 1997/07,1995.0759,16,-0.09333191066980362
199207-199707,1992/07 - 1997/07,1995.0759,17,-0.1456678807735443
199207-199707,1992/07 - 1997/07,1995.0759,18,-0.049687840044498444
199207-199707,1992/07 - 1997/07,1995.0759,all,-0.04985239
199208-199708,1992/08 - 1997/08,1995.1608,0,-0.1684630960226059
199208-199708,1992/08 - 1997/08,1995.1608,1,-0.15570120513439178
